Hour,Month,WindSpeed,WindDir,Rain,Power
19,3,0,---,0.2,51.2
21,4,0.9,ESE,0,14.5
0,6,0.9,ENE,0,2.1
16,4,2.7,NE,0,8.2
19,12,4,WNW,0,23.7
14,8,0.4,E,0,1.2
7,5,2.2,NNW,0,29.6
7,11,1.3,SW,0,39.3
9,4,0.4,SW,0,1.8
12,11,1.8,W,0,1.7
6,12,5.4,NNE,0,83.8
7,5,0.4,NNW,0,63
8,8,0.4,WSW,0,0
5,3,0.4,ENE,0,-0.7
0,6,0.9,NNW,0,8.1
7,11,1.3,SSE,0,19
13,10,4.5,WNW,0,65.3
13,6,3.1,NW,0,29.2
2,4,2.7,NE,0,68.9
8,12,0.4,W,0,38.5
6,5,0,---,0,22.4
19,4,0.4,SW,0,62.6
14,12,0.9,SW,0,1.8
17,1,0.9,E,0,16.7
21,12,2.2,SSE,0,56.1
16,7,0.4,WSW,0,9.1
12,8,2.7,WSW,0,87.4
13,4,0.9,SSE,0,0.3
6,12,0,---,0,48.6
22,7,0.4,ENE,0,90.6
10,6,2.7,NNW,0,31.2
16,11,2.7,SSE,0,65.4
20,7,1.8,W,0,55.3
1,9,1.3,ENE,0,0.3
11,2,0,---,0,1.7
10,2,4.5,ENE,0,89.3
16,6,1.3,WNW,0,9.7
19,8,2.7,NE,0,45.2
20,4,3.1,NNW,0,53.5
5,3,1.8,NW,0,12.4
0,6,0.4,SE,0,44.7
5,4,0.4,ENE,0,2
20,1,3.6,SSE,0,86.5
22,11,0,E,0,15.5
10,11,3.6,NE,0,25.4
18,3,2.7,SSE,0,40.7
22,11,0.4,S,0,74.2
2,10,2.2,NNE,0,88.6
12,7,2.2,SSE,0,6.1
16,10,1.3,W,0,2.3
16,3,3.1,SE,0,61.1
17,1,1.8,E,0,25.3
16,6,8,NW,0,73.9
14,11,1.3,SW,0,19.9
14,5,1.3,W,0,20.6
21,11,2.7,W,0,102.8
22,6,5.8,NNW,0,72.2
15,11,4,WNW,0,37.7
18,2,3.1,SSE,0,95.8
6,9,0,---,0,9.2
13,5,1.8,WSW,0,69.3
5,10,2.7,ENE,0,17.4
23,8,3.1,NNW,0,50.7
21,2,0.4,ENE,0,-0.8
3,4,0.9,NNE,0,10.6
10,1,2.2,NE,0,10.7
23,8,0.4,WSW,0,57.3
23,11,0.4,ENE,0.2,15.3
5,7,3.1,NE,0,52.5
12,11,1.3,W,0,1.7
15,10,0.9,SW,0,0.4
18,2,1.8,SE,0,48.8
8,10,0.9,NNW,0,1.3
1,10,0,---,0,3.4
23,11,1.3,SE,0,35
14,4,0.9,SE,0,1.6
16,3,2.2,W,0,23.5
7,3,0.4,SSE,0,12.7
20,1,2.2,E,0,38.1
17,7,1.3,NW,0,28.6
19,3,0,W,0,-0.4
20,6,4,NNE,0,69
15,4,3.6,NNW,0,46.5
18,11,0.9,SW,0,72.4
13,11,2.2,W,0,44.6
7,9,3.6,SW,0,99.8
11,8,0.9,NW,0,-0.7
3,10,0.9,SW,0,84.3
23,12,0,---,0,73.8
10,12,1.8,SE,0,19.8
7,4,0,N,0,-0.1
7,12,4.9,ENE,0,86.7
15,6,4,NW,0,23.3
0,3,0,---,0,39
16,5,1.8,NE,0,7.6
22,5,0,---,0,24.3
1,6,1.3,NNW,0,12.3
14,12,0.9,E,0,10.2
2,2,2.7,NE,0,53.3
7,7,3.1,NNW,0,82.8
19,3,0,---,0,6.5
8,4,3.6,NNW,0,70
23,4,0.4,ENE,0,1.7
4,10,9.4,NE,0,101.6
20,4,2.2,NE,0,45.6
0,2,1.3,S,0,32.7
22,12,0,---,0,5.8
18,6,3.6,NNE,0,74.6
0,9,4.5,NNW,0,77.8
19,5,0.4,W,0,26.8
16,8,0.9,W,0,-0.6
22,4,0.9,E,0,21.6
23,4,3.6,ENE,0,30.5
9,1,3.1,ENE,0,13.8
10,11,3.6,NNW,0,50.8
22,12,0,---,0,12.9
9,12,2.7,NE,0,12.8
2,4,3.6,NE,0,86.8
18,2,3.1,SW,0,108.8
22,1,1.3,SE,0,87.4
3,3,1.3,NW,0,23.9
11,4,3.1,W,0,69.2
9,2,1.3,SW,0,67.1
13,1,1.3,NW,0,4.9
12,9,1.3,WSW,0,20.1
22,12,3.1,E,0,72.6
21,2,1.3,SSE,0,23.8
10,6,1.3,NE,0,41.9
12,1,2.2,WNW,0,3.3
18,5,0,ENE,0,-0.7
5,1,4,ENE,0,76.5
18,6,0.4,NE,0,16.6
6,4,1.8,NE,0,29.8
14,2,0.9,WNW,0,4
15,10,1.8,SSE,0,37.5
7,7,3.6,WSW,0,75.2
2,7,0,W,0,15.5
6,6,1.3,NW,0,9.8
17,1,1.3,WNW,0,9.6
4,4,3.1,ENE,0,47.2
4,2,1.3,SSE,0,60.9
0,12,0.4,SSE,0,45.4
6,3,2.7,ENE,0,27.1
15,12,1.8,SSE,0,52.9
10,5,0.9,SE,0,12.4
21,10,0.9,SW,0,87.6
7,12,1.8,SSE,0,78.8
10,12,2.7,ENE,0,20.4
21,12,0,---,0,46.6
2,12,0,---,0,5.1
2,5,0,---,0,43.4
5,1,0.4,SSE,0,62.8
21,10,3.6,NE,0,108.8
16,6,2.2,NE,0,57.2
9,11,0.4,SW,0,5.4
8,9,1.3,W,0,20.6
0,3,1.8,SW,0,93.4
8,7,0,NW,0,6.5
10,5,2.2,WNW,0,22.2
23,8,0.4,WSW,0,49.5
3,5,0,---,0,3.5
8,2,4,NNW,0,33.8
